10 008 39 2 .0513
10 009 125 4 .032
10 010 74 3 .0405
10 011 41 1 .0244
10 012 52 0 0
10 014 55 2 .0364
10 015 65 1 .0154
10 016 120 23 .1917
10 018 22 1 .0455
10 019 19 1 .0526
10 020 133 18 .1353
10 023 62 1 .0161
10 024 118 9 .0763
10 025 51 4 .0784
10 029 34 3 .0882
10 030 44 2 .0455
10 031 121 11 .0909
10 037 103 5 .0485
10 039 55 1 .0182
10 040 55 7 .1273
10 042 127 20 .1575
10 043 158 3 .019
10 044 179 8 .0447
10 045 105 7 .0667
10 048 92 7 .0761
10 049 85 1 .0118
12 008 39 2 .0513
12 009 125 4 .032
12 010 74 3 .0405
12 011 41 1 .0244
12 012 52 0 0
12 014 55 2 .0364
12 015 65 1 .0154
12 016 120 23 .1917
12 018 22 1 .0455
12 019 19 1 .0526
12 020 133 18 .1353
12 023 62 1 .0161
12 024 118 9 .0763
12 025 51 4 .0784
12 029 34 2 .0588
12 030 44 2 .0455
12 031 121 11 .0909
12 037 103 5 .0485
12 039 55 1 .0182
12 040 55 7 .1273
12 042 127 20 .1575
12 043 158 3 .019
12 044 179 8 .0447
12 045 105 7 .0667
12 048 92 7 .0761
12 049 85 1 .0118
6 008 39 2 .0513
6 009 125 4 .032
6 010 74 3 .0405
6 011 41 1 .0244
6 012 52 0 0
6 014 55 2 .0364
6 015 65 1 .0154
6 016 120 23 .1917
6 018 22 1 .0455
6 019 19 1 .0526
6 020 133 18 .1353
6 023 62 1 .0161
6 024 118 9 .0763
6 025 51 3 .0588
6 029 34 3 .0882
6 030 44 2 .0455
6 031 121 11 .0909
6 037 103 5 .0485
6 039 55 1 .0182
6 040 55 7 .1273
6 042 127 20 .1575
6 043 158 3 .019
6 044 179 8 .0447
6 045 105 7 .0667
6 048 92 7 .0761
6 049 85 1 .0118
8 008 39 2 .0513
8 009 125 4 .032
8 010 74 3 .0405
8 011 41 1 .0244
8 012 52 0 0
8 014 55 2 .0364
8 015 65 1 .0154
8 016 120 23 .1917
8 018 22 1 .0455
8 019 19 1 .0526
8 020 133 18 .1353
8 023 62 1 .0161
8 024 118 9 .0763
8 025 51 4 .0784
8 029 34 3 .0882
8 030 44 2 .0455
8 031 121 11 .0909
8 037 103 5 .0485
8 039 55 1 .0182
8 040 55 7 .1273
8 042 127 20 .1575
8 043 158 3 .019
8 044 179 9 .0503
8 045 105 7 .0667
8 048 92 7 .0761
8 049 85 1 .0118
