10 3 001 2501.703
10 3 003 205.483
10 3 004 32755.704
10 3 005 10678.496
10 3 007 14395.804
10 3 008 7098.942
10 3 009 132541.771
10 3 010 37590.32
10 3 011 84.572
10 3 012 145.985
10 3 013 2892.444
10 3 014 78.853
10 3 015 68302.108
10 3 016 45484.705
10 3 017 73643.306
10 3 018 145.727
10 3 019 10531.276
10 3 020 82671.069
10 4 001 2533.488
10 4 003 205.042
10 4 004 42382.892
10 4 005 10654.248
10 4 007 19398.011
10 4 008 11274.386
10 4 009 134138.84
10 4 010 37997.786
10 4 011 85.053
10 4 012 144.884
10 4 013 3339.85
10 4 014 79.703
10 4 015 65602.741
10 4 016 45788.78
10 4 017 73508.392
10 4 018 145.444
10 4 019 21120.024
10 4 020 85207.799
10 5 001 2531.316
10 5 003 209.769
10 5 004 42244.055
10 5 005 10594.226
10 5 007 21371.921
10 5 008 13737.084
10 5 009 128303.319
10 5 010 37071.842
10 5 011 86.234
10 5 012 144.398
10 5 013 3672.223
10 5 014 78.037
10 5 015 65723.55
10 5 016 45240.738
10 5 017 73384.201
10 5 018 149.657
10 5 019 24302.456
10 5 020 83279.091
5 3 001 2164.075
5 3 003 206.33
5 3 004 32245.068
5 3 005 10666.041
5 3 007 14336.249
5 3 008 7088.413
5 3 009 128840.972
5 3 010 37259.808
5 3 011 80.195
5 3 012 144.143
5 3 013 2802.762
5 3 014 76.656
5 3 015 67934.129
5 3 016 58011.279
5 3 017 73490.777
5 3 018 143.531
5 3 019 10482.746
5 3 020 10498.224
5 4 001 2198.451
5 4 003 206.189
5 4 004 42113.29
5 4 005 10561.912
5 4 007 19309.236
5 4 008 11159.124
5 4 009 128728.737
5 4 010 37434.361
5 4 011 79.954
5 4 012 145.986
5 4 013 3326.053
5 4 014 77.386
5 4 015 65056.807
5 4 016 45446.28
5 4 017 86693.689
5 4 018 141.456
5 4 019 20955.142
5 4 020 10547.318
7 3 001 2188.514
7 3 003 207.206
7 3 004 32280.111
7 3 005 10716.102
7 3 007 14405.852
7 3 008 7182.72
7 3 009 129797.111
7 3 010 37712.515
7 3 011 84.101
7 3 012 144.725
7 3 013 2827.376
7 3 014 79.453
7 3 015 65605.961
7 3 016 44736.609
7 3 017 72261.686
7 3 018 141.505
7 3 019 10503.474
7 3 020 16008.541
7 4 001 2204.686
7 4 003 205.432
7 4 004 42285.306
7 4 005 10705.589
7 4 007 19334.003
7 4 008 11212.421
7 4 009 129024.089
7 4 010 37517.246
7 4 011 87.731
7 4 012 147.827
7 4 013 3288.335
7 4 014 78.178
7 4 015 65394.68
7 4 016 45488.813
7 4 017 73147.672
7 4 018 144.833
7 4 019 21028.424
7 4 020 16661.684
7 5 001 2205.315
7 5 003 208.234
7 5 004 42178.899
7 5 005 10577.776
7 5 007 21485.434
7 5 008 13647.019
7 5 009 128055.43
7 5 010 51008.305
7 5 011 142.87
7 5 012 223.781
7 5 013 3685.842
7 5 014 78.008
7 5 015 68077.366
7 5 016 45636.187
7 5 017 72903.185
7 5 018 146.963
7 5 019 23892.72
7 5 020 16072.005
