10 3 001 100 12 .12
10 3 003 67 3 .0448
10 3 004 185 17 .0919
10 3 005 155 3 .0194
10 3 007 128 4 .0312
10 3 008 39 2 .0513
10 3 009 125 4 .032
10 3 010 74 3 .0405
10 3 011 41 1 .0244
10 3 012 52 0 0
10 3 013 51 2 .0392
10 3 014 55 2 .0364
10 3 015 65 1 .0154
10 3 016 120 23 .1917
10 3 017 169 5 .0296
10 3 018 22 1 .0455
10 3 019 19 1 .0526
10 3 020 133 18 .1353
10 4 001 100 9 .09
10 4 003 67 3 .0448
10 4 004 185 17 .0919
10 4 005 155 3 .0194
10 4 007 128 4 .0312
10 4 008 39 2 .0513
10 4 009 125 4 .032
10 4 010 74 3 .0405
10 4 011 41 1 .0244
10 4 012 52 0 0
10 4 013 51 2 .0392
10 4 014 55 2 .0364
10 4 015 65 1 .0154
10 4 016 120 23 .1917
10 4 017 169 5 .0296
10 4 018 22 1 .0455
10 4 019 19 1 .0526
10 4 020 133 18 .1353
10 5 001 100 9 .09
10 5 003 67 3 .0448
10 5 004 185 17 .0919
10 5 005 155 3 .0194
10 5 007 128 4 .0312
10 5 008 39 2 .0513
10 5 009 125 4 .032
10 5 010 74 3 .0405
10 5 011 41 1 .0244
10 5 012 52 0 0
10 5 013 51 2 .0392
10 5 014 55 2 .0364
10 5 015 65 1 .0154
10 5 016 120 23 .1917
10 5 017 169 5 .0296
10 5 018 22 1 .0455
10 5 019 19 1 .0526
10 5 020 133 18 .1353
5 3 001 100 12 .12
5 3 003 67 3 .0448
5 3 004 185 17 .0919
5 3 005 155 3 .0194
5 3 007 128 4 .0312
5 3 008 39 2 .0513
5 3 009 125 4 .032
5 3 010 74 3 .0405
5 3 011 41 1 .0244
5 3 012 52 0 0
5 3 013 51 2 .0392
5 3 014 55 2 .0364
5 3 015 65 1 .0154
5 3 016 120 23 .1917
5 3 017 169 5 .0296
5 3 018 22 1 .0455
5 3 019 19 1 .0526
5 3 020 133 18 .1353
5 4 001 100 9 .09
5 4 003 67 3 .0448
5 4 004 185 17 .0919
5 4 005 155 3 .0194
5 4 007 128 4 .0312
5 4 008 39 2 .0513
5 4 009 125 4 .032
5 4 010 74 3 .0405
5 4 011 41 1 .0244
5 4 012 52 0 0
5 4 013 51 2 .0392
5 4 014 55 2 .0364
5 4 015 65 1 .0154
5 4 016 120 23 .1917
5 4 017 169 5 .0296
5 4 018 22 1 .0455
5 4 019 19 1 .0526
5 4 020 133 18 .1353
7 3 001 100 12 .12
7 3 003 67 3 .0448
7 3 004 185 17 .0919
7 3 005 155 3 .0194
7 3 007 128 4 .0312
7 3 008 39 2 .0513
7 3 009 125 4 .032
7 3 010 74 3 .0405
7 3 011 41 1 .0244
7 3 012 52 0 0
7 3 013 51 2 .0392
7 3 014 55 2 .0364
7 3 015 65 1 .0154
7 3 016 120 23 .1917
7 3 017 169 5 .0296
7 3 018 22 1 .0455
7 3 019 19 1 .0526
7 3 020 133 18 .1353
7 4 001 100 9 .09
7 4 003 67 3 .0448
7 4 004 185 17 .0919
7 4 005 155 3 .0194
7 4 007 128 4 .0312
7 4 008 39 2 .0513
7 4 009 125 4 .032
7 4 010 74 3 .0405
7 4 011 41 1 .0244
7 4 012 52 0 0
7 4 013 51 2 .0392
7 4 014 55 2 .0364
7 4 015 65 1 .0154
7 4 016 120 23 .1917
7 4 017 169 5 .0296
7 4 018 22 1 .0455
7 4 019 19 1 .0526
7 4 020 133 18 .1353
7 5 001 100 9 .09
7 5 003 67 3 .0448
7 5 004 185 17 .0919
7 5 005 155 3 .0194
7 5 007 128 4 .0312
7 5 008 39 2 .0513
7 5 009 125 4 .032
7 5 010 74 3 .0405
7 5 011 41 1 .0244
7 5 012 52 0 0
7 5 013 51 2 .0392
7 5 014 55 2 .0364
7 5 015 65 1 .0154
7 5 016 120 23 .1917
7 5 017 169 5 .0296
7 5 018 22 1 .0455
7 5 019 19 1 .0526
7 5 020 133 18 .1353
